CODICE,DESCRIZIONE
A55,LINFOGRANULOMA (VENEREO) DA CHLAMYDIAE
A56.0,"ALTRE MALATTIE DA CHLAMYDIAE, SESSUALMENTE TRASMESSE - INFEZIONE DA CHLAMYDIAE DEL TRATTO GENITOURINARIO INFERIORE"
A56.1,"ALTRE MALATTIE DA CHLAMYDIAE, SESSUALMENTE TRASMESSE - INFEZIONE DA CHLAMYDIAE DEL PERITONEO PELVICO E DI ALTRI ORGANI GENITOURINARI"
A56.2,"ALTRE MALATTIE DA CHLAMYDIAE, SESSUALMENTE TRASMESSE - INFEZIONE DA CHLAMYDIAE DEL TRATTO GENITOURINARIO NON SPECIFICATA"
A56.3,"ALTRE MALATTIE DA CHLAMYDIAE, SESSUALMENTE TRASMESSE - INFEZIONE DA CHLAMYDIAE DELL'ANO E DEL RETTO"
A56.4,"ALTRE MALATTIE DA CHLAMYDIAE, SESSUALMENTE TRASMESSE - INFEZIONE DA CHLAMYDIAE DELLA FARINGE"
A56.8,"ALTRE MALATTIE DA CHLAMYDIAE, SESSUALMENTE TRASMESSE - INFEZIONE DA CHLAMYDIAE SESSUALMENTE TRASMESSA DI ALTRE SEDI"
A57,ULCERA VENEREA MOLLE
A58,GRANULOMA INGUINALE
A59.0,TRICOMONIASI - TRICOMONIASI UROGENITALE
A59.8,TRICOMONIASI - TRICOMONIASI DI ALTRE SEDI
A59.9,TRICOMONIASI - TRICOMONIASI NON SPECIFICATA
A60.0,INFEZIONI ANOGENITALI DA HERPES VIRUS (HERPES SIMPLEX) - INFEZIONE DA HERPES VIRUS DEI GENITALI E DEL TRATTO UROGENITALE
A60.1,INFEZIONI ANOGENITALI DA HERPES VIRUS (HERPES SIMPLEX) - INFEZIONE DA HERPES VIRUS DELLA CUTE PERIANALE E DEL RETTO
A60.9,INFEZIONI ANOGENITALI DA HERPES VIRUS (HERPES SIMPLEX) - INFEZIONE ANOGENITALE DA HERPES VIRUS NON SPECIFICATA
A63.0,"ALTRE MALATTIE A TRASMISSIONE PREVALENTEMENTE SESSUALE, NON CLASSIFICATE ALTROVE - VERRUCHE ANOGENITALI (VENEREE)"
A63.8,"ALTRE MALATTIE A TRASMISSIONE PREVALENTEMENTE SESSUALE, NON CLASSIFICATE ALTROVE - ALTRE MALATTIE SPECIFICATE A TRASMISSIONE PREVALENTEMENTE SESSUALE"
A64,MALATTIA SESSUALMENTE TRASMESSA NON SPECIFICATA
A65,SIFILIDE NON VENEREA
A66.0,FRAMBOESIA - LESIONI INIZIALI DA FRAMBOESIA
A66.1,FRAMBOESIA - PAPILLOMI MULTIPLI E WET CRAB DA FRAMBOESIA
A66.2,FRAMBOESIA - ALTRE LESIONI CUTANEE PRECOCI DA FRAMBOESIA
A66.3,FRAMBOESIA - IPERCHERATOSI DA FRAMBOESIA
A66.4,FRAMBOESIA - GOMME E ULCERE DA FRAMBOESIA
A66.5,FRAMBOESIA - GANGOSA
A66.6,FRAMBOESIA - LESIONI DELLE OSSA E DELLE ARTICOLAZIONI DA FRAMBOESIA
A66.7,FRAMBOESIA - ALTRE MANIFESTAZIONI DA FRAMBOESIA
A66.8,FRAMBOESIA - FRAMBOESIA LATENTE
A66.9,FRAMBOESIA - FRAMBOESIA NON SPECIFICATA
A67.0,PINTA (CARATE) - LESIONI PRIMARIE DA PINTA
A67.1,PINTA (CARATE) - LESIONI INTERMEDIE DA PINTA
A67.2,PINTA (CARATE) - LESIONI TARDIVE DA PINTA
A67.3,PINTA (CARATE) - LESIONI MISTE DA PINTA
A67.9,PINTA (CARATE) - PINTA NON SPECIFICATA
A68.0,FEBBRI RICORRENTI - FEBBRE RICORRENTE DA PIDOCCHI
A68.1,FEBBRI RICORRENTI - FEBBRE RICORRENTE DA ZECCHE
A68.9,FEBBRI RICORRENTI - FEBBRE RICORRENTE NON SPECIFICATA
A69.0,ALTRE INFEZIONI DA SPIROCHETE - STOMATITE ULCERATIVA NECROTIZZANTE
A69.1,ALTRE INFEZIONI DA SPIROCHETE - ALTRE INFEZIONI DI VINCENT
A69.2,ALTRE INFEZIONI DA SPIROCHETE - MALATTIA DI LYME
A69.8,ALTRE INFEZIONI DA SPIROCHETE - ALTRE INFEZIONI SPIROCHETICHE SPECIFICATE
A69.9,ALTRE INFEZIONI DA SPIROCHETE - INFEZIONE SPIROCHETICA NON SPECIFICATA
A70,INFEZIONE DA CHLAMYDIAE PSITTACI
A71.0,TRACOMA - STADIO INIZIALE DI TRACOMA
A71.1,TRACOMA - STADIO ATTIVO DI TRACOMA
A71.9,TRACOMA - TRACOMA NON SPECIFICATO
A74.0,ALTRE MALATTIE DA CHLAMYDIAE - CONGIUNTIVITE DA CHLAMYDIAE (H13 1*)
A74.8,ALTRE MALATTIE DA CHLAMYDIAE - ALTRE MALATTIE DA CHLAMYDIAE
A74.9,ALTRE MALATTIE DA CHLAMYDIAE - INFEZIONE DA CHLAMYDIAE NON SPECIFICATA
A75.0,TIFO ESANTEMATICO - TIFO ESANTEMATICO DA PIDOCCHI DA RICKETTSIA PROWAZEKII
A75.1,TIFO ESANTEMATICO - TIFO RICORRENTE (MALATTIA DI BRILL)
A75.2,TIFO ESANTEMATICO - TIFO ESANTEMATICO DA RICKETTSIA TYPHI
A75.3,TIFO ESANTEMATICO - TIFO ESANTEMATICO DA RICKETTSIA TSUTSUGAMUSHI
A75.9,TIFO ESANTEMATICO - TIFO ESANTEMATICO NON SPECIFICATO
A77.0,FEBBRE MACULOSA (RICKETTSIOSI DA ZECCHE) - FEBBRE MACULOSA DA RICKETTSIA RICKETTSII
A77.1,FEBBRE MACULOSA (RICKETTSIOSI DA ZECCHE) - FEBBRE MACULOSA DA RICKETTSIA CONORII
A77.2,FEBBRE MACULOSA (RICKETTSIOSI DA ZECCHE) - FEBBRE MACULOSA DA RICKETTSIA SIBERICA
A77.3,FEBBRE MACULOSA (RICKETTSIOSI DA ZECCHE) - FEBBRE MACULOSA DA RICKETTSIA AUSTRALIS
A77.8,FEBBRE MACULOSA (RICKETTSIOSI DA ZECCHE) - ALTRE FEBBRI MACULOSE
A77.9,FEBBRE MACULOSA (RICKETTSIOSI DA ZECCHE) - FEBBRE MACULOSA NON SPECIFICATA
A78,FEBBRE Q
A79.0,ALTRE RICKETTSIOSI - FEBBRE DELLE TRINCEE
A79.1,ALTRE RICKETTSIOSI - RICKETTSIALPOX DA RICKETTSIA AKARI
A79.8,ALTRE RICKETTSIOSI - ALTRE RICKETTSIOSI SPECIFICATE
A79.9,ALTRE RICKETTSIOSI - RICKETTSIOSI NON SPECIFICATA
A80.0,POLIOMIELITE ACUTA - POLIOMIELITE ACUTA PARALITICA ASSOCIATA A VACCINAZIONE
A80.1,POLIOMIELITE ACUTA - POLIOMIELITE ACUTA PARALITICA DA VIRUS SELVAGGIO IMPORTATO
A80.2,POLIOMIELITE ACUTA - POLIOMIELITE ACUTA PARALITICA DA VIRUS SELVAGGIO INDIGENO
A80.3,POLIOMIELITE ACUTA - ALTRA E NON SPECIFICATA POLIOMIELITE ACUTA PARALITICA
A80.4,POLIOMIELITE ACUTA - POLIOMIELITE ACUTA NON PARALITICA
A80.9,POLIOMIELITE ACUTA - POLIOMIELITE ACUTA NON SPECIFICATA
A81.0,INFEZIONI DEL SISTEMA NERVOSO CENTRALE DA VIRUS NON CONVENZIONALI - MALATTIA DI CREUTZFELDT JAKOB
A81.1,INFEZIONI DEL SISTEMA NERVOSO CENTRALE DA VIRUS NON CONVENZIONALI - PANENCEFALITE SUBACUTA SCLEROSANTE
A81.2,INFEZIONI DEL SISTEMA NERVOSO CENTRALE DA VIRUS NON CONVENZIONALI - LEUCOENCEFALOPATIA MULTIFOCALE PROGRESSIVA
A81.8,INFEZIONI DEL SISTEMA NERVOSO CENTRALE DA VIRUS NON CONVENZIONALI - ALTRE INFEZIONI DEL SISTEMA NERVOSO CENTRALE DA VIRUS NON CONVENZIONALI
A81.9,"INFEZIONI DEL SISTEMA NERVOSO CENTRALE DA VIRUS NON CONVENZIONALI - INFEZIONE, NON SPECIFICATA, DEL SISTEMA NERVOSO CENTRALE DA VIRUS NON  CONVENZIONALE"
A82.0,RABBIA - RABBIA SILVESTRE
A82.1,RABBIA - RABBIA URBANA
A82.9,RABBIA - RABBIA NON SPECIFICATA
A83.0,ENCEFALITE VIRALE DA ZANZARE - ENCEFALITE GIAPPONESE
A83.1,ENCEFALITE VIRALE DA ZANZARE - ENCEFALITE EQUINA DELL'OVEST
A83.2,ENCEFALITE VIRALE DA ZANZARE - ENCEFALITE EQUINA DELL'EST
A83.3,ENCEFALITE VIRALE DA ZANZARE - ENCEFALITE DI ST  LOUIS
A83.4,ENCEFALITE VIRALE DA ZANZARE - ENCEFALITE AUSTRALIANA
A83.5,ENCEFALITE VIRALE DA ZANZARE - ENCEFALITE CALIFORNIANA
A83.6,ENCEFALITE VIRALE DA ZANZARE - MALATTIA DA VIRUS ROCIO
A83.8,ENCEFALITE VIRALE DA ZANZARE - ALTRE ENCEFALITI VIRALI DA ZANZARE
A83.9,ENCEFALITE VIRALE DA ZANZARE - ENCEFALITE VIRALE DA ZANZARE NON SPECIFICATA
A84.0,ENCEFALITE VIRALE DA ZECCHE - ENCEFALITE DA ZECCHE DELL'ESTREMO ORIENTE (ENCEFALITE RUSSA ESTIVO PRIMAVERILE)
A84.1,ENCEFALITE VIRALE DA ZECCHE - ENCEFALITE DA ZECCHE CENTROEUROPEA
A84.8,ENCEFALITE VIRALE DA ZECCHE - ALTRE ENCEFALITI VIRALI DA ZECCHE
A84.9,ENCEFALITE VIRALE DA ZECCHE - ENCEFALITE VIRALE DA ZECCHE NON SPECIFICATA
A85.0,ALTRE ENCEFALITI VIRALI NON CLASSIFICATE ALTROVE - ENCEFALITE DA ENTEROVIRUS (G05 1*)
A85.1,ALTRE ENCEFALITI VIRALI NON CLASSIFICATE ALTROVE - ENCEFALITE DA ADENOVIRUS (G05 1*)
A85.2,ALTRE ENCEFALITI VIRALI NON CLASSIFICATE ALTROVE - ENCEFALITE VIRALE DA ARTROPODI NON SPECIFICATA
A85.8,ALTRE ENCEFALITI VIRALI NON CLASSIFICATE ALTROVE - ALTRE ENCEFALITI VIRALI SPECIFICATE
A86,ENCEFALITE VIRALE NON SPECIFICATA
A87.0,MENINGITE VIRALE - MENINGITE DA ENTEROVIRUS (G02 0*)
A87.1,MENINGITE VIRALE - MENINGITE DA ADENOVIRUS (G02 0*)
A87.2,MENINGITE VIRALE - CORIOMENINGITE LINFOCITARIA
A87.8,MENINGITE VIRALE - ALTRE MENINGITI VIRALI
A87.9,MENINGITE VIRALE - MENINGITE VIRALE NON SPECIFICATA
A88.0,ALTRE INFEZIONI VIRALI DEL SISTEMA NERVOSO CENTRALE NON CLASSIFICATE ALTROVE - FEBBRE ESANTEMATICA DA ENTEROVIRUS (ESANTEMA DI BOSTON)
A88.1,ALTRE INFEZIONI VIRALI DEL SISTEMA NERVOSO CENTRALE NON CLASSIFICATE ALTROVE - VERTIGINE EPIDEMICA
A88.8,ALTRE INFEZIONI VIRALI DEL SISTEMA NERVOSO CENTRALE NON CLASSIFICATE ALTROVE - ALTRE INFEZIONI VIRALI DEL SISTEMA NERVOSO CENTRALE SPECIFICATE
A89,INFEZIONE VIRALE DEL SISTEMA NERVOSO CENTRALE NON SPECIFICATA
A92.0,ALTRE FEBBRI VIRALI TRASMESSE DA ZANZARE - MALATTIA DA VIRUS CHIKUNGUNYA
A92.1,ALTRE FEBBRI VIRALI TRASMESSE DA ZANZARE - FEBBRE O'NYONG NYONG
A92.2,ALTRE FEBBRI VIRALI TRASMESSE DA ZANZARE - FEBBRE EQUINA VENEZUELANA
A92.3,ALTRE FEBBRI VIRALI TRASMESSE DA ZANZARE - INFEZIONE DA VIRUS WEST NILE
A92.4,ALTRE FEBBRI VIRALI TRASMESSE DA ZANZARE - FEBBRE DELLA VALLE DEL RIFT
A92.8,ALTRE FEBBRI VIRALI TRASMESSE DA ZANZARE - ALTRE FEBBRI VIRALI SPECIFICATE TRASMESSE DA ZANZARE
A92.9,ALTRE FEBBRI VIRALI TRASMESSE DA ZANZARE - FEBBRE VIRALE NON SPECIFICATA TRASMESSA DA ZANZARE
A93.0,"ALTRE FEBBRI VIRALI TRASMESSE DA ARTROPODI, NON CLASSIFICATE ALTROVE - MALATTIA DA VIRUS OROPOUCHE"
A93.1,"ALTRE FEBBRI VIRALI TRASMESSE DA ARTROPODI, NON CLASSIFICATE ALTROVE - FEBBRE DA MOSCA DELLA SABBIA"
A93.2,"ALTRE FEBBRI VIRALI TRASMESSE DA ARTROPODI, NON CLASSIFICATE ALTROVE - FEBBRE DA ZECCHE DEL COLORADO"
A93.8,"ALTRE FEBBRI VIRALI TRASMESSE DA ARTROPODI, NON CLASSIFICATE ALTROVE - ALTRE FEBBRI VIRALI SPECIFICATE TRASMESSE DA ARTROPODI"
A94,FEBBRE VIRALE TRASMESSA DA ARTROPODI NON SPECIFICATA
A95.0,FEBBRE GIALLA - FEBBRE GIALLA SILVESTRE
A95.1,FEBBRE GIALLA - FEBBRE GIALLA URBANA
A95.9,FEBBRE GIALLA - FEBBRE GIALLA NON SPECIFICATA
A96.0,FEBBRE EMORRAGICA DA ARENAVIRUS - FEBBRE EMORRAGICA DA VIRUS JUNIN
A96.1,FEBBRE EMORRAGICA DA ARENAVIRUS - FEBBRE EMORRAGICA DA VIRUS MACHUPO
A96.2,FEBBRE EMORRAGICA DA ARENAVIRUS - FEBBRE DI LASSA
A96.8,FEBBRE EMORRAGICA DA ARENAVIRUS - ALTRE FEBBRI EMORRAGICHE DA ARENAVIRUS
A96.9,FEBBRE EMORRAGICA DA ARENAVIRUS - FEBBRE EMORRAGICA DA ARENAVIRUS NON SPECIFICATA
A97.0,DENGUE - DENGUE SENZA SEGNI PREMONITORI
A97.1,DENGUE - DENGUE CON SEGNI PREMONITORI
A97.2,DENGUE - DENGUE GRAVE
A97.9,DENGUE - DENGUE NON SPECIFICATA
A98.0,ALTRE FEBBRI EMORRAGICHE VIRALI NON CLASSIFICATE ALTROVE - FEBBRE EMORRAGICA DELLA CRIMEA E DEL CONGO
A98.1,ALTRE FEBBRI EMORRAGICHE VIRALI NON CLASSIFICATE ALTROVE - FEBBRE EMORRAGICA DI OMSK
A98.2,ALTRE FEBBRI EMORRAGICHE VIRALI NON CLASSIFICATE ALTROVE - MALATTIA DELLA FORESTA DI KYASANUR
A98.3,ALTRE FEBBRI EMORRAGICHE VIRALI NON CLASSIFICATE ALTROVE - MALATTIA DA VIRUS MARBURG
A98.4,ALTRE FEBBRI EMORRAGICHE VIRALI NON CLASSIFICATE ALTROVE - MALATTIA DA VIRUS EBOLA
A98.5,ALTRE FEBBRI EMORRAGICHE VIRALI NON CLASSIFICATE ALTROVE - FEBBRE EMORRAGICA CON SINDROME RENALE
A98.8,ALTRE FEBBRI EMORRAGICHE VIRALI NON CLASSIFICATE ALTROVE - ALTRE FEBBRI EMORRAGICHE VIRALI SPECIFICATE
A99,FEBBRE VIRALE EMORRAGICA NON SPECIFICATA
B00.0,INFEZIONI DA HERPES VIRUS (HERPES SIMPLEX) - ECZEMA ERPETICO
B00.1,INFEZIONI DA HERPES VIRUS (HERPES SIMPLEX) - DERMATITE VESCICOLARE ERPETICA
B00.2,INFEZIONI DA HERPES VIRUS (HERPES SIMPLEX) - GENGIVOSTOMATITE E FARINGOTONSILLITE ERPETICHE
B00.3,INFEZIONI DA HERPES VIRUS (HERPES SIMPLEX) - MENINGITE ERPETICA (G02 0*)
B00.4,INFEZIONI DA HERPES VIRUS (HERPES SIMPLEX) - ENCEFALITE ERPETICA (G05 1*)
B00.5,INFEZIONI DA HERPES VIRUS (HERPES SIMPLEX) - OFTALMOPATIA ERPETICA
B00.7,INFEZIONI DA HERPES VIRUS (HERPES SIMPLEX) - MALATTIA ERPETICA DISSEMINATA
B00.8,INFEZIONI DA HERPES VIRUS (HERPES SIMPLEX) - ALTRA FORMA DI INFEZIONE ERPETICA
B00.9,INFEZIONI DA HERPES VIRUS (HERPES SIMPLEX) - INFEZIONE ERPETICA NON SPECIFICATA
B01.0,VARICELLA - MENINGITE VARICELLOSA (G02 0*)
B01.1,VARICELLA - ENCEFALITE VARICELLOSA (G05 1*)
B01.2,VARICELLA - POLMONITE VARICELLOSA (J17 1*)
B01.8,VARICELLA - VARICELLA CON ALTRE COMPLICANZE
B01.9,VARICELLA - VARICELLA SENZA COMPLICANZA
B02.0,ZOSTER (HERPES ZOSTER) - ENCEFALITE DA ZOSTER (G05 1*)
B02.1,ZOSTER (HERPES ZOSTER) - MENINGITE DA ZOSTER (G02 0*)
B02.2,ZOSTER (HERPES ZOSTER) - ZOSTER CON INTERESSAMENTO DI ALTRE AREE DEL SISTEMA NERVOSO CENTRALE
B02.3,ZOSTER (HERPES ZOSTER) - OFTALMOPATIA DA ZOSTER
B02.7,ZOSTER (HERPES ZOSTER) - ZOSTER DISSEMINATO
B02.8,ZOSTER (HERPES ZOSTER) - ZOSTER CON ALTRA COMPLICANZA
B02.9,ZOSTER (HERPES ZOSTER) - ZOSTER SENZA COMPLICANZE
B03,VAIOLO
B04,VAIOLO DELLE SCIMMIE
B05.0,MORBILLO - MORBILLO COMPLICATO DA ENCEFALITE (G05 1*)
B05.1,MORBILLO - MORBILLO COMPLICATO DA MENINGITE (G02 0*)
B05.2,MORBILLO - MORBILLO COMPLICATO DA POLMONITE (J17 1*)
B05.3,MORBILLO - MORBILLO COMPLICATO DA OTITE MEDIA (H67 1*)
B05.4,MORBILLO - MORBILLO CON COMPLICANZE INTESTINALI
B05.8,MORBILLO - MORBILLO CON ALTRE COMPLICANZE
B05.9,MORBILLO - MORBILLO SENZA COMPLICANZA
B06.0,ROSOLIA - ROSOLIA CON COMPLICANZE NEUROLOGICHE
B06.8,ROSOLIA - ROSOLIA CON ALTRE COMPLICANZE
B06.9,ROSOLIA - ROSOLIA SENZA COMPLICANZA
B07,VERRUCHE VIRALI
B08.0,"ALTRE INFEZIONI VIRALI CARATTERIZZATE DA LESIONI DELLA CUTE E DELLE MUCOSE, NON CLASSIFICATE ALTROVE - ALTRE INFEZIONI DA ORTHOPOXVIRUS"
B08.1,"ALTRE INFEZIONI VIRALI CARATTERIZZATE DA LESIONI DELLA CUTE E DELLE MUCOSE, NON CLASSIFICATE ALTROVE - MOLLUSCO CONTAGIOSO"
B08.2,"ALTRE INFEZIONI VIRALI CARATTERIZZATE DA LESIONI DELLA CUTE E DELLE MUCOSE, NON CLASSIFICATE ALTROVE - ESANTEMA CRITICO (SESTA MALATTIA)"
B08.3,"ALTRE INFEZIONI VIRALI CARATTERIZZATE DA LESIONI DELLA CUTE E DELLE MUCOSE, NON CLASSIFICATE ALTROVE - MEGALOERITEMA INFETTIVO (QUINTA MALATTIA)"
B08.4,"ALTRE INFEZIONI VIRALI CARATTERIZZATE DA LESIONI DELLA CUTE E DELLE MUCOSE, NON CLASSIFICATE ALTROVE - STOMATITE VESCICOLARE DA ENTEROVIRUS CON ESANTEMA"
B08.5,"ALTRE INFEZIONI VIRALI CARATTERIZZATE DA LESIONI DELLA CUTE E DELLE MUCOSE, NON CLASSIFICATE ALTROVE - FARINGITE VESCICOLARE DA ENTEROVIRUS"
B08.8,"ALTRE INFEZIONI VIRALI CARATTERIZZATE DA LESIONI DELLA CUTE E DELLE MUCOSE, NON CLASSIFICATE ALTROVE - ALTRE INFEZIONI VIRALI SPECIFICATE CARATTERIZZATE DA LESIONI DELLA CUTE E DELLE MEMBRANE MUCOSE"
B09,INFEZIONE VIRALE NON SPECIFICATA CARATTERIZZATA DA LESIONI DELLA CUTE E DELLE MUCOSE
B15.0,EPATITE ACUTA A - EPATITE A CON COMA EPATICO
B15.9,EPATITE ACUTA A - EPATITE A SENZA COMA EPATICO
B16.0,"EPATITE ACUTA B - EPATITE ACUTA B CON AGENTE DELTA (COINFEZIONE), CON COMA EPATICO"
B16.1,"EPATITE ACUTA B - EPATITE ACUTA B CON AGENTE DELTA (COINFEZIONE), SENZA COMA EPATICO"
B16.2,"EPATITE ACUTA B - EPATITE ACUTA B SENZA AGENTE DELTA, CON COMA EPATICO"
B16.9,EPATITE ACUTA B - EPATITE ACUTA B SENZA AGENTE DELTA E SENZA COMA EPATICO
B17.0,ALTRE EPATITI VIRALI ACUTE - (SUPER) INFEZIONE ACUTA DELTA DI PORTATORE DI EPATITE B
B17.1,ALTRE EPATITI VIRALI ACUTE - EPATITE ACUTA C
B17.2,ALTRE EPATITI VIRALI ACUTE - EPATITE ACUTE E
B17.8,ALTRE EPATITI VIRALI ACUTE - ALTRE EPATITI VIRALI ACUTE SPECIFICATE
B17.9,ALTRE EPATITI VIRALI ACUTE - EPATITE VIRALE ACUTA NON SPECIFICATA
B18.0,EPATITE VIRALE CRONICA - EPATITE VIRALE CRONICA B CON AGENTE DELTA
B18.1,EPATITE VIRALE CRONICA - EPATITE VIRALE CRONICA B SENZA AGENTE DELTA
B18.2,EPATITE VIRALE CRONICA - EPATITE VIRALE CRONICA C
B18.8,EPATITE VIRALE CRONICA - ALTRE EPATITI VIRALI CRONICHE
B18.9,EPATITE VIRALE CRONICA - EPATITE VIRALE CRONICA NON SPECIFICATA
B19.0,EPATITE VIRALE NON SPECIFICATA - EPATITE VIRALE NON SPECIFICATA CON COMA EPATICO
B19.9,EPATITE VIRALE NON SPECIFICATA - EPATITE VIRALE NON SPECIFICATA SENZA COMA EPATICO
B20.0,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A MALATTIE INFETTIVE O PARASSITARIE - MALATTIA DA HIV CHE DA' LUOGO A INFEZIONE DA MICOBATTERI
B20.1,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A MALATTIE INFETTIVE O PARASSITARIE - MALATTIA DA HIV CHE DA' LUOGO AD ALTRE INFEZIONI BATTERICHE
B20.2,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A MALATTIE INFETTIVE O PARASSITARIE - MALATTIA DA HIV CHE DA' LUOGO A MALATTIA DA CYTOMEGALOVIRUS
B20.3,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A MALATTIE INFETTIVE O PARASSITARIE - MALATTIA DA HIV CHE DA' LUOGO AD ALTRE INFEZIONI VIRALI
B20.4,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A MALATTIE INFETTIVE O PARASSITARIE - MALATTIA DA HIV CHE DA' LUOGO A CANDIDOSI
B20.5,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A MALATTIE INFETTIVE O PARASSITARIE - MALATTIA DA HIV CHE DA' LUOGO AD ALTRE MICOSI
B20.6,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A MALATTIE INFETTIVE O PARASSITARIE - MALATTIA DA HIV CHE DÀ LUOGO A POLMONITE DA PNEUMOCYSTIS JIROVECII
B20.7,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A MALATTIE INFETTIVE O PARASSITARIE - MALATTIA DA HIV CHE DA' LUOGO AD INFEZIONI MULTIPLE
B20.8,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A MALATTIE INFETTIVE O PARASSITARIE - MALATTIA DA HIV CHE DA' LUOGO AD ALTRE MALATTIE INFETTIVE E PARASSITARIE
B20.9,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A MALATTIE INFETTIVE O PARASSITARIE - MALATTIA DA HIV CHE DA' LUOGO A MALATTIA INFETTIVA E PARASSITARIA NON SPECIFICATA
B21.0,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A NEOPLASIE MALIGNE - MALATTIA DA HIV CHE DA' LUOGO A SARCOMA DI KAPOSI
B21.1,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A NEOPLASIE MALIGNE - MALATTIA DA HIV CHE DA' LUOGO A LINFOMA DI BURKITT
B21.2,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A NEOPLASIE MALIGNE - MALATTIA DA HIV CHE DA' LUOGO AD ALTRI TIPI DI LINFOMA NON HODGKIN
B21.3,"MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A NEOPLASIE MALIGNE - MALATTIA DA HIV CHE DA' LUOGO A ALTRE NEOPLASIE MALIGNE DEL TESSUTO LINFATICO, EMATOPOIETICO E TESSUTI CORRELATI"
B21.7,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A NEOPLASIE MALIGNE - MALATTIA DA HIV CHE DA' LUOGO A NEOPLASIE MALIGNE MULTIPLE
B21.8,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A NEOPLASIE MALIGNE - MALATTIA DA HIV CHE DA' LUOGO AD ALTRE NEOPLASIE MALIGNE
B21.9,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO A NEOPLASIE MALIGNE - MALATTIA DA HIV CHE DA' LUOGO A NEOPLASIA MALIGNA NON SPECIFICATA
B22.0,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO AD ALTRE MALATTIE SPECIFICATE - MALATTIA DA HIV CHE DA' LUOGO AD ENCEFALOPATIA
B22.1,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO AD ALTRE MALATTIE SPECIFICATE - MALATTIA DA HIV CHE DA' LUOGO A POLMONITE INTERSTIZIALE LINFOIDE
B22.2,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO AD ALTRE MALATTIE SPECIFICATE - MALATTIA DA HIV CHE DA' LUOGO A SINDROME CACHETTICA (WASTING SYNDROME)
B22.7,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO AD ALTRE MALATTIE SPECIFICATE - MALATTIA DA HIV CHE DA' LUOGO A MALATTIE MULTIPLE CLASSIFICATE ALTROVE
B23.0,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO AD ALTRE CONDIZIONI MORBOSE - SINDROME DA INFEZIONE ACUTA DA HIV
B23.1,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO AD ALTRE CONDIZIONI MORBOSE - MALATTIA DA HIV CHE DA' LUOGO A LINFADENOPATIA GENERALIZZATA (PERSISTENTE)
B23.2,"MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO AD ALTRE CONDIZIONI MORBOSE - MALATTIA DA HIV CHE DA' LUOGO A ANOMALIE EMATOLOGICHE ED IMMUNOLOGICHE, NON CLASSIFICATE ALTROVE"
B23.8,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) CHE DA' LUOGO AD ALTRE CONDIZIONI MORBOSE - MALATTIA DA HIV CHE DA' LUOGO AD ALTRE CONDIZIONI MORBOSE SPECIFICATE
B24,MALATTIA DA VIRUS DELL'IMMUNODEFICIENZA UMANA (HIV) NON SPECIFICATA
B25.0,MALATTIA DA CYTOMEGALOVIRUS - POLMONITE DA CYTOMEGALOVIRUS (J17 1*)
